date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:38	1447/1447	---MCZ	404	error ('Not%20Found')	text/html	etag:1590816338-ssl-df	https://www.rijorajan.website/robots.txt		(from )
14:50:38	67775/-1	---M--	200	added ('OK')	text/html	etag:%22074eb41e3fb529822e1c868f88b5f3f6-ssl%22	https://www.rijorajan.website/	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/index.html	(from )
14:50:39	1203/1203	---M-Z	200	added ('OK')	text/css	etag:%22a86df2a0925acf192e1b503812c677b4-ssl-df%22	https://www.rijorajan.website/css/reset.css	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/reset.css	(from https://www.rijorajan.website/)
14:50:39	28977/28977	---MCZ	200	added ('OK')	text/css	etag:%2253d4a30d06a4cb8ed3021a82aaab709d-ssl-df%22	https://www.rijorajan.website/css/bootstrap-grid.min.css	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/bootstrap-grid.min.css	(from https://www.rijorajan.website/)
14:50:40	4411/4411	---M-Z	200	added ('OK')	text/css	etag:%22960d19fa0e4d8bda4017dfb5035666ba-ssl-df%22	https://www.rijorajan.website/css/perfect-scrollbar.css	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/perfect-scrollbar.css	(from https://www.rijorajan.website/)
14:50:40	42981/42981	---MCZ	200	added ('OK')	text/css	etag:%229f06dccf739de0a1bd37765658dee445-ssl-df%22	https://www.rijorajan.website/css/animations.css	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/animations.css	(from https://www.rijorajan.website/)
14:50:40	4124/4124	---M-Z	200	added ('OK')	text/css	etag:%227daec8301eb9343c480ca384ab7efa3c-ssl-df%22	https://www.rijorajan.website/css/owl.carousel.css	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/owl.carousel.css	(from https://www.rijorajan.website/)
14:50:41	7782/7782	---M-Z	200	added ('OK')	text/css	etag:%2291f58734f9ab28050576304de3bf3ff0-ssl-df%22	https://www.rijorajan.website/css/magnific-popup.css	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/magnific-popup.css	(from https://www.rijorajan.website/)
14:50:41	63358/63358	---MCZ	200	added ('OK')	text/css	etag:%2256f0bf27166562a25a70424e9d2bc64f-ssl-df%22	https://www.rijorajan.website/css/main.css	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/css/main.css	(from https://www.rijorajan.website/)
14:50:42	9358/9358	---MCZ	200	added ('OK')	application/javascript	etag:%22f4b1b8fc653fb64b6e173ba125c68bba-ssl-df%22	https://www.rijorajan.website/js/modernizr.custom.js	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/js/modernizr.custom.js	(from https://www.rijorajan.website/)
14:50:42	23787/23787	---M--	200	added ('OK')	image/jpeg	etag:e235a5febd60c27a76a63f64ef5dcf8d016b6ceb	https://d33wubrfki0l68.cloudfront.net/c61dbe3f6377521b1992b394c671ce463a4e4992/27f3f/img/main_photo.replace.jpg	C:/My%20Web%20Sites/Personal%20Website/d33wubrfki0l68.cloudfront.net/c61dbe3f6377521b1992b394c671ce463a4e4992/27f3f/img/main_photo.replace.jpg	(from https://www.rijorajan.website/)
14:50:42	51128/51128	---M--	200	added ('OK')	image/png	etag:%22966b5c4d7f892111c56dfaae4a735784-ssl%22	https://www.rijorajan.website/img/main_bg.png	C:/My%20Web%20Sites/Personal%20Website/www.rijorajan.website/img/main_bg.png	(from https://www.rijorajan.website/)
